                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.82527,                 1.8898,                0.71693,                0.99899,                0.87945,                0.82806,                0.88346,                0.73264,                0.84776,                0.80147,                0.84412,                0.59251,                0.73254,                  1.709,                0.55085,                0.92402,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.83951,                 1.8986,                0.72198,                 0.9947,                0.84833,                0.86035,                 0.8934,                0.73258,                0.87797,                0.78267,                0.84512,                0.59181,                0.73013,                 1.7065,                0.55027,                0.92245,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.82412,                 1.8721,                0.71395,                0.99274,                0.84813,                0.85587,                0.89244,                 0.7335,                0.87989,                 0.7806,                  0.844,                0.59305,                0.72805,                 1.7067,                0.55033,                0.92192,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.83697,                 1.8949,                0.72586,                 1.0052,                0.85366,                0.84932,                0.89272,                0.73493,                0.87594,                0.78082,                0.84571,                0.59383,                0.72854,                 1.7048,                 0.5499,                0.92153,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.83186,                 1.9347,                 0.6915,                 1.0043,                0.84576,                 0.8533,                0.89429,                0.73534,                0.87678,                0.78278,                0.84545,                0.59303,                0.72592,                 1.7006,                0.54878,                0.92115,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.81695,                 1.9378,                0.72963,                0.99919,                0.83161,                0.85963,                0.89451,                0.73538,                0.87414,                0.78213,                0.84529,                 0.5927,                0.72412,                  1.699,                0.54789,                0.91993,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.80548,                 1.8703,                0.69779,                0.98669,                0.89395,                 0.8153,                0.88945,                0.73391,                0.87238,                0.78556,                0.84537,                0.59357,                0.72339,                 1.6951,                0.54632,                0.91972,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.78153,                 1.8102,                0.70828,                0.98056,                0.89385,                0.82306,                0.89354,                0.73336,                0.87397,                0.78666,                 0.8445,                0.59421,                0.72081,                 1.6923,                0.54348,                 0.9186,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.83473,                 1.8617,                0.71428,                 1.0071,                0.89303,                0.82249,                0.89191,                0.73283,                0.86548,                0.78817,                0.84178,                0.59292,                0.71951,                 1.6903,                0.54252,                0.91809,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.87084,                 1.9287,                0.71175,                 1.0016,                0.89812,                0.81723,                0.89239,                0.73444,                0.86409,                0.78936,                0.84139,                0.59561,                0.71827,                 1.6886,                0.54119,                0.91838,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 0.8615,                 1.9203,                0.74244,                0.99683,                0.90178,                0.82388,                0.89496,                0.73766,                0.86816,                0.78777,                0.83962,                0.59217,                0.71587,                 1.6883,                0.53999,                0.91743,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.92693,                 2.0773,                0.86965,                 1.0322,                0.84616,                0.85739,                 0.8918,                0.73461,                0.86732,                0.78323,                0.84048,                 0.5929,                0.72159,                 1.7018,                0.54808,                0.91784,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.93095,                 2.1437,                0.90162,                 1.0112,                0.87039,                0.84153,                0.89139,                0.73396,                0.87932,                0.78048,                0.84239,                0.58893,                0.73417,                 1.7222,                0.56103,                 0.9219,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                 0.9314,                 2.1402,                0.90516,                  1.045,                0.89324,                0.82113,                0.88758,                0.72831,                0.87514,                0.75924,                0.82954,                0.58189,                0.74321,                 1.7407,                0.56986,                0.92482,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.87783,                 2.0003,                0.79337,                 1.0119,                0.89847,                0.81991,                0.88776,                0.72676,                0.86129,                 0.7574,                0.82845,                0.58036,                0.74943,                 1.7554,                0.57745,                0.92657,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.89565,                 2.0744,                0.81688,                 1.0203,                0.89733,                0.81784,                0.88886,                0.72672,                0.84872,                0.77805,                0.83932,                0.57805,                0.75704,                 1.7686,                0.58262,                0.92839,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.88857,                 1.9312,                0.74241,                 1.0148,                0.89679,                0.81223,                0.88664,                0.72627,                0.85065,                0.77243,                0.83617,                0.57701,                0.75861,                 1.7737,                0.58442,                0.92923,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.86994,                 1.9677,                0.76115,                 1.0101,                0.89871,                0.80931,                0.88658,                 0.7234,                0.86258,                0.76849,                0.83866,                0.57756,                0.76069,                 1.7788,                0.58711,                0.92997,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.88062,                 2.0292,                0.78325,                 1.0191,                0.90052,                0.80627,                0.88713,                0.72347,                0.86956,                0.75775,                0.83528,                0.57507,                0.76494,                  1.784,                0.58937,                0.93096,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 0.8939,                  1.969,                0.76277,                 1.0226,                0.89977,                0.80597,                0.88517,                  0.722,                0.87351,                0.75829,                0.83662,                0.57427,                0.76853,                   1.79,                 0.5931,                0.93242,             4.7243e-06,             4.7243e-06,             4.7243e-06
