epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,32.6914,0.44852,0.73489,0.88034,0.90766,0.36,0.67588,0.63114,0.43562,2.30897,0.81722,0.000604557,0.000604557,0.000604557
110,32.9901,0.426,0.69388,0.8625,0.91866,0.39263,0.68576,0.63862,0.43304,2.2403,0.82157,0.000603034,0.000603034,0.000603034
111,33.279,0.50568,0.96372,0.86547,0.84486,0.58868,0.89189,0.82668,0.431,1.84578,0.82675,0.000601512,0.000601512,0.000601512
112,33.5576,0.37785,0.66291,0.89215,0.87203,0.70307,0.90156,0.83751,0.41311,1.60849,0.82516,0.000599989,0.000599989,0.000599989
113,33.8451,0.42452,0.69442,0.88828,0.82698,0.73898,0.82512,0.77154,0.39447,1.64975,0.83184,0.000598467,0.000598467,0.000598467
114,34.1283,0.4667,0.77677,0.89469,0.79145,0.73637,0.8069,0.75669,0.37945,1.78543,0.84363,0.000596944,0.000596944,0.000596944
115,34.4193,0.4057,0.70866,0.90276,0.65569,0.617,0.71661,0.67262,0.36508,1.90916,0.83905,0.000595421,0.000595421,0.000595421
116,34.8098,0.44164,0.66148,0.89564,0.58763,0.4787,0.69225,0.66521,0.34976,2.06691,0.82317,0.000593899,0.000593899,0.000593899
117,35.1501,0.44821,0.68281,0.84581,0.73627,0.4618,0.70908,0.67915,0.3867,2.15566,0.82492,0.000592376,0.000592376,0.000592376
118,35.4271,0.44041,0.75976,0.86712,0.53078,0.42889,0.67615,0.62639,0.43642,2.19686,0.84453,0.000590853,0.000590853,0.000590853
119,35.7078,0.40716,0.74303,0.86969,0.61307,0.47974,0.68128,0.63739,0.44884,2.13218,0.8484,0.000589331,0.000589331,0.000589331
120,35.9885,0.49297,0.79544,0.90587,0.65835,0.57407,0.72859,0.68504,0.42875,1.9336,0.83134,0.000587808,0.000587808,0.000587808
