epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,43.261,0.41393,1.71005,0.91623,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000388345,0.000388345,0.000388345
152,43.5265,0.46159,1.79207,0.92355,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000385807,0.000385807,0.000385807
153,43.793,0.39671,1.80245,0.90288,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.00038327,0.00038327,0.00038327
154,44.1195,0.4612,1.8787,0.99913,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000380732,0.000380732,0.000380732
155,44.3915,0.38063,1.80349,0.89322,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000378194,0.000378194,0.000378194
156,44.659,0.39051,1.82179,0.91518,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000375656,0.000375656,0.000375656
157,44.938,0.44899,1.86874,0.93734,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000373119,0.000373119,0.000373119
158,45.21,0.47031,2.19318,0.86489,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000370581,0.000370581,0.000370581
159,45.5396,0.43429,2.01114,0.90629,0.60336,0.72253,0.76627,0.73135,0.32743,1.44729,0.87615,0.000368043,0.000368043,0.000368043
160,45.8891,0.3943,2.15309,0.84327,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000365506,0.000365506,0.000365506
161,46.1606,0.39083,1.57247,0.91965,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000362968,0.000362968,0.000362968
162,46.4826,0.41431,1.63763,0.95846,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.00036043,0.00036043,0.00036043
163,46.7496,0.38342,1.74477,0.90079,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000357893,0.000357893,0.000357893
164,47.0107,0.40165,1.74693,0.88654,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000355355,0.000355355,0.000355355
165,47.2716,0.36879,1.68343,0.91061,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000352817,0.000352817,0.000352817
166,47.5352,0.45815,1.68172,0.93252,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.00035028,0.00035028,0.00035028
167,47.7997,0.36365,1.74301,0.89831,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000347742,0.000347742,0.000347742
168,48.0602,0.42876,1.7379,0.90963,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000345204,0.000345204,0.000345204
169,48.3772,0.38709,1.58403,0.94198,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000342666,0.000342666,0.000342666
170,48.6587,0.37949,1.62391,0.94139,0.57505,0.78777,0.7747,0.72263,0.34976,1.33213,0.87227,0.000340129,0.000340129,0.000340129
171,48.9367,0.43177,1.84693,0.86121,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000337591,0.000337591,0.000337591
172,49.1997,0.53037,2.07327,1.11118,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000335053,0.000335053,0.000335053
173,49.4692,0.37688,1.50943,0.97909,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000332516,0.000332516,0.000332516
174,49.7957,0.40792,1.56701,0.91062,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000329978,0.000329978,0.000329978
175,50.1194,0.36065,1.53276,0.92238,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.00032744,0.00032744,0.00032744
176,50.4362,0.47301,1.69448,0.91312,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000324903,0.000324903,0.000324903
177,50.6997,0.34914,1.63845,0.86785,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000322365,0.000322365,0.000322365
178,50.9889,0.4377,1.66368,0.91725,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000319827,0.000319827,0.000319827
179,51.2535,0.41292,1.43759,0.96121,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000317289,0.000317289,0.000317289
180,51.5214,0.41425,1.5385,0.90063,0.63294,0.77068,0.79871,0.75417,0.34304,1.17347,0.89983,0.000314752,0.000314752,0.000314752
